Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Weather_Conditions,Road_Surface_Conditions,Speed_limit
201501BS70001,-0.198465,51.505538,3,1,1,2015-01-12,2,January,18:45:00,18,1,1,30
201501BS70002,-0.178838,51.491836,3,1,1,2015-01-12,2,January,07:50:00,7,1,1,30
201501BS70004,-0.20559,51.51491,3,1,1,2015-01-12,2,January,18:08:00,18,2,2,30
201501BS70005,-0.208327,51.514952,3,1,1,2015-01-13,3,January,07:40:00,7,1,2,30
201501BS70008,-0.206022,51.496572,2,2,1,2015-01-09,6,January,07:30:00,7,2,2,30
201501BS70009,-0.19361,51.500788,3,2,1,2015-01-15,5,January,09:56:00,9,1,2,30
201501BS70010,-0.173519,51.495171,3,2,1,2015-01-15,5,January,09:09:00,9,8,2,30
201501BS70011,-0.163542,51.492497,3,2,1,2015-01-18,1,January,15:30:00,15,1,1,30
201501BS70012,-0.21198,51.513659,3,2,1,2015-01-16,6,January,06:20:00,6,1,1,30
201501BS70013,-0.199786,51.5159,3,2,2,2015-01-20,3,January,15:44:00,15,8,1,30
201501BS70014,-0.216407,51.518402,3,2,1,2015-01-23,6,January,22:39:00,22,2,2,30
201501BS70015,-0.184495,51.501726,3,1,2,2015-01-22,5,January,08:10:00,8,1,1,30
201501BS70016,-0.172522,51.491289,3,2,1,2015-01-21,4,January,18:05:00,18,1,1,30
201501BS70017,-0.195797,51.492818,3,1,1,2015-01-21,4,January,13:38:00,13,1,1,30
201501BS70018,-0.166886,51.488143,3,1,1,2015-01-23,6,January,10:57:00,10,1,1,30
201501BS70019,-0.166882,51.488233,3,1,1,2015-01-23,6,January,17:15:00,17,1,1,30
201501BS70020,-0.214099,51.51477,3,2,1,2015-01-23,6,January,13:34:00,13,1,1,30
201501BS70022,-0.183889,51.484361,3,2,1,2015-01-25,1,January,01:50:00,1,1,1,30
201501BS70023,-0.207725,51.519259,3,1,1,2015-01-24,7,January,16:16:00,16,1,1,30
201501BS70024,-0.172964,51.491026,3,2,1,2015-01-23,6,January,15:25:00,15,1,1,30
201501BS70026,-0.163102,51.499864,2,1,1,2015-01-23,6,January,23:25:00,23,2,2,30
201501BS70027,-0.192941,51.488548,3,1,1,2015-01-20,3,January,17:20:00,17,1,1,30
201501BS70029,-0.193675,51.488199,3,2,1,2015-01-20,3,January,15:15:00,15,1,1,30
201501BS70030,-0.215564,51.51785,3,2,2,2015-01-28,4,January,09:36:00,9,2,2,30
201501BS70033,-0.185515,51.483307,3,2,2,2015-01-30,6,January,01:46:00,1,1,1,30
201501BS70034,-0.163793,51.496997,3,1,1,2015-01-29,5,January,19:00:00,19,1,1,30
201501BS70035,-0.158276,51.494483,3,1,1,2015-01-29,5,January,17:10:00,17,1,1,30
201501BS70036,-0.194671,51.506739,3,1,1,2015-01-30,6,January,07:50:00,7,1,1,30
201501BS70037,-0.167365,51.483385,3,2,1,2015-02-01,1,February,13:00:00,13,1,2,30
201501BS70038,-0.167321,51.48806,3,1,1,2015-01-30,6,January,23:10:00,23,1,1,30
201501BS70039,-0.172881,51.482302,3,2,1,2015-01-31,7,January,00:10:00,0,1,1,30
201501BS70040,-0.197319,51.509028,3,1,1,2015-02-01,1,February,16:00:00,16,1,1,30
201501BS70042,-0.160434,51.501711,3,1,1,2015-01-31,7,January,21:06:00,21,1,1,30
201501BS70043,-0.215936,51.504636,2,2,1,2015-01-30,6,January,18:40:00,18,1,1,30
