Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201501BS70001,525130,180050,-0.198465,51.505538,1,3,1,1,2015-01-12,2,January,18:45:00,18,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002825
201501BS70002,526530,178560,-0.178838,51.491836,1,3,1,1,2015-01-12,2,January,07:50:00,7,12,E09000020,6,0,6,30,3,4,3,3218,0,0,1,1,1,0,0,1,1,E01002820
201501BS70004,524610,181080,-0.20559,51.51491,1,3,1,1,2015-01-12,2,January,18:08:00,18,12,E09000020,4,415,6,30,2,4,6,0,0,1,4,2,2,0,0,1,1,E01002833
201501BS70005,524420,181080,-0.208327,51.514952,1,3,1,1,2015-01-13,3,January,07:40:00,7,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,2,0,0,1,2,E01002874
201501BS70008,524630,179040,-0.206022,51.496572,1,2,2,1,2015-01-09,6,January,07:30:00,7,12,E09000020,3,315,6,30,6,2,3,3220,0,5,1,2,2,0,0,1,2,E01002814
201501BS70009,525480,179530,-0.19361,51.500788,1,3,2,1,2015-01-15,5,January,09:56:00,9,12,E09000020,3,315,6,30,3,4,5,0,0,4,1,1,2,0,0,1,1,E01002816
201501BS70010,526890,178940,-0.173519,51.495171,1,3,2,1,2015-01-15,5,January,09:09:00,9,12,E09000020,3,3218,6,30,6,2,3,3218,0,5,1,8,2,0,0,1,1,E01002821
201501BS70011,527590,178660,-0.163542,51.492497,1,3,2,1,2015-01-18,1,January,15:30:00,15,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002861
201501BS70012,524170,180930,-0.21198,51.513659,1,3,2,1,2015-01-16,6,January,06:20:00,6,12,E09000020,5,0,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002879
201501BS70013,525010,181200,-0.199786,51.5159,1,3,2,2,2015-01-20,3,January,15:44:00,15,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,8,1,0,0,1,1,E01002832
201501BS70014,523850,181450,-0.216407,51.518402,1,3,2,1,2015-01-23,6,January,22:39:00,22,12,E09000020,4,412,1,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01002909
201501BS70015,526110,179650,-0.184495,51.501726,1,3,1,2,2015-01-22,5,January,08:10:00,8,1,E09000033,3,315,6,30,3,2,4,325,0,5,1,1,1,0,0,1,1,E01002891
201501BS70016,526970,178510,-0.172522,51.491289,1,3,2,1,2015-01-21,4,January,18:05:00,18,12,E09000020,3,308,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002914
201501BS70017,525350,178640,-0.195797,51.492818,1,3,1,1,2015-01-21,4,January,13:38:00,13,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002847
201501BS70018,527370,178170,-0.166886,51.488143,1,3,1,1,2015-01-23,6,January,10:57:00,10,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002899
201501BS70019,527370,178180,-0.166882,51.488233,1,3,1,1,2015-01-23,6,January,17:15:00,17,12,E09000020,3,3217,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002899
201501BS70020,524020,181050,-0.214099,51.51477,1,3,2,1,2015-01-23,6,January,13:34:00,13,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002878
201501BS70022,526200,177720,-0.183889,51.484361,1,3,2,1,2015-01-25,1,January,01:50:00,1,12,E09000020,3,308,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01002912
201501BS70023,524450,181560,-0.207725,51.519259,1,3,1,1,2015-01-24,7,January,16:16:00,16,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002855
201501BS70024,526940,178480,-0.172964,51.491026,1,3,2,1,2015-01-23,6,January,15:25:00,15,12,E09000020,3,308,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01002914
201501BS70026,527600,179480,-0.163102,51.499864,1,2,1,1,2015-01-23,6,January,23:25:00,23,12,E09000020,3,4,3,30,3,4,3,4,0,4,4,2,2,0,0,1,1,E01002819
201501BS70027,525560,178170,-0.192941,51.488548,1,3,1,1,2015-01-20,3,January,17:20:00,17,12,E09000020,3,3218,6,30,6,2,3,3220,0,5,4,1,1,0,0,1,2,E01002846
201501BS70029,525510,178130,-0.193675,51.488199,1,3,2,1,2015-01-20,3,January,15:15:00,15,12,E09000020,3,3218,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01002894
201501BS70030,523910,181390,-0.215564,51.51785,1,3,2,2,2015-01-28,4,January,09:36:00,9,12,E09000020,6,0,1,30,1,4,4,412,0,0,1,2,2,0,0,1,1,E01002878
201501BS70033,526090,177600,-0.185515,51.483307,1,3,2,2,2015-01-30,6,January,01:46:00,1,12,E09000020,3,3220,6,30,6,2,3,308,0,5,4,1,1,0,0,1,1,E01002912
201501BS70034,527560,179160,-0.163793,51.496997,1,3,1,1,2015-01-29,5,January,19:00:00,19,12,E09000020,5,0,6,30,6,2,4,319,0,5,4,1,1,0,0,1,1,E01002818
201501BS70035,527950,178890,-0.158276,51.494483,1,3,1,1,2015-01-29,5,January,17:10:00,17,12,E09000020,3,3216,6,30,6,4,6,0,0,1,4,1,1,0,0,1,1,E01002859
